Angle Vale::Angle Fail,
St Paul's OS::Saint Paul,
Payneham Norwood Union::Payneham in the @rse,
Blackfriars OS::Friar Truck,
Gaza::Nice Gazza,
North Haven::North Haven for Hobos,
Brighton District & O.S.::Brighton Bummers,
Smithfield::,Smith's Chips,
Christies Beach::,Christie's a B!tch,
Henley::Henley Hooligans,
St Peter's OC::The Silver Spooners
